feature,selected,ranking,importance
ew_sigma,False,14,
ma24,False,99,
ma168,False,3,
bb_upper,True,1,0.0014913563190594318
bb_middle,False,41,
bb_lower,False,8,
adxr,False,12,
bop,False,73,
dx,False,39,
sma_5,False,4,
sma_10,False,58,
sma_20,False,79,
sma_50,False,82,
sma_100,True,1,0.0009474702805056083
ema_5,True,1,0.006848564056991457
ema_10,False,5,
ema_12,False,23,
ema_26,False,44,
ema_50,False,67,
ema_100,False,77,
tema_5,True,1,0.8266557404157598
tema_10,True,1,0.004631343324442333
tema_20,False,24,
dema_5,True,1,0.1336012204733364
dema_10,True,1,0.015814736011020805
dema_20,False,11,
kama_10,True,1,0.0005723633748425355
kama_30,False,2,
rsi_7,False,78,
rsi_14,False,70,
rsi_21,False,36,
stoch_k_5,False,72,
stoch_d_5,False,68,
stoch_k_14,False,91,
stoch_d_14,False,35,
stoch_k_21,False,66,
stoch_d_21,False,75,
stochrsi_k_14,False,101,
stochrsi_d_14,False,52,
stochrsi_k_21,False,104,
stochrsi_d_21,False,88,
cci_14,False,10,
cci_20,False,56,
cci_50,False,19,
roc_12,False,74,
roc_25,False,69,
mom_10,False,98,
mom_14,False,45,
willr_14,False,84,
willr_28,False,59,
uo,False,43,
cmo_20,False,86,
atr_7,False,26,
atr_14,False,95,
atr_21,False,50,
bb_upper_10,True,1,0.0004203309305983063
bb_middle_10,False,94,
bb_lower_10,False,63,
bb_width_10,False,40,
bb_percent_10,False,42,
bb_upper_20,False,6,
bb_middle_20,False,90,
bb_lower_20,False,29,
bb_width_20,False,37,
bb_percent_20,False,28,
trange,False,100,
stddev_5,False,21,
stddev_20,False,71,
stddev_50,False,34,
plus_di,False,46,
minus_di,False,20,
macd,False,87,
macd_signal,False,60,
macd_hist,False,57,
aroon_up_14,False,103,
aroon_down_14,False,102,
aroon_osc_14,False,61,
aroon_up_25,False,96,
aroon_down_25,False,80,
aroon_osc_25,False,51,
sar,False,64,
trix,False,30,
high_low_ratio,False,93,
close_open_ratio,False,89,
price_sma20_ratio,False,92,
price_ema12_ratio,False,15,
atr_sma_ratio,False,83,
stddev_price_ratio,False,85,
price_lag_1,True,1,0.009016874813443303
price_lag_5,False,38,
price_lag_10,False,65,
price_lag_24,False,48,
returns_lag_1,False,17,
returns_lag_5,False,31,
returns_lag_10,False,49,
returns_lag_24,False,25,
skewness_20,False,33,
kurtosis_20,False,16,
skewness_50,False,13,
kurtosis_50,False,9,
ew_sigma_01,False,62,
ew_sigma_02,False,55,
price_momentum_1,False,7,
price_momentum_5,False,54,
price_momentum_10,False,81,
price_momentum_24,False,76,
daily_range,False,53,
gap,False,47,
ht_trendline,False,97,
ht_trendmode,False,105,
ht_dcperiod,False,18,
ht_dcphase,False,32,
ht_inphase,False,27,
ht_quadrature,False,22,
