feature,selected,ranking,importance
ew_sigma,True,1,0.983465749433638
ma24,False,42,
ma168,False,17,
sma_20,False,44,
sma_50,False,4,
sma_100,False,34,
ema_5,False,36,
ema_12,False,41,
ema_26,False,43,
ema_50,False,45,
ema_100,False,23,
bb_upper,False,39,
bb_middle,False,19,
bb_lower,False,30,
bb_width_20,False,26,
bb_percent_20,False,5,
adxr,False,6,
dx,False,12,
rsi_7,False,37,
rsi_14,False,11,
rsi_21,True,1,0.008991619215312188
stoch_k_5,False,16,
stoch_d_5,False,20,
stoch_k_14,False,3,
stoch_d_14,False,10,
uo,False,25,
cmo_20,False,22,
atr_7,False,29,
atr_14,False,21,
atr_21,False,32,
stddev_20,False,31,
vix_proxy,False,7,
macd,False,8,
macd_signal,False,27,
macd_hist,False,13,
plus_di,False,14,
minus_di,True,1,0.007542631351049775
aroon_osc_25,False,35,
sar,False,38,
trix,False,18,
price_sma20_ratio,False,33,
price_ema12_ratio,False,24,
price_momentum_5,False,15,
price_momentum_10,False,28,
price_momentum_24,False,2,
ema_crossover,False,40,
chop_14,False,9,
