feature,selected,ranking,importance
ew_sigma,True,1,0.9847251757139633
ma24,True,1,0.003603436672029551
ma168,False,6,
sma_20,False,25,
sma_50,False,39,
sma_100,True,1,0.002709599841472685
ema_5,False,20,
ema_12,False,3,
ema_26,False,37,
ema_50,False,33,
ema_100,False,29,
bb_upper,False,35,
bb_middle,False,38,
bb_lower,False,8,
bb_width_20,False,11,
bb_percent_20,False,5,
adxr,False,19,
dx,False,4,
rsi_7,False,28,
rsi_14,False,27,
rsi_21,False,36,
stoch_k_5,False,31,
stoch_d_5,False,26,
stoch_k_14,False,32,
stoch_d_14,False,30,
uo,False,18,
cmo_20,False,7,
atr_7,False,15,
atr_14,False,41,
atr_21,False,34,
stddev_20,False,23,
vix_proxy,False,12,
macd,False,22,
macd_signal,False,2,
macd_hist,False,16,
plus_di,False,14,
minus_di,True,1,0.004599378619730437
aroon_osc_25,False,10,
sar,False,40,
trix,False,9,
price_sma20_ratio,False,13,
price_ema12_ratio,True,1,0.004362409152803987
price_momentum_5,False,17,
price_momentum_10,False,21,
price_momentum_24,False,24,
ema_crossover,False,42,
