feature,selected,ranking,importance
ew_sigma,True,1,0.9426320939396562
ma24,False,38,
ma168,False,9,
sma_20,False,44,
sma_50,False,4,
sma_100,False,3,
ema_5,False,17,
ema_12,False,42,
ema_26,False,43,
ema_50,False,7,
ema_100,False,2,
bb_upper,False,37,
bb_middle,False,21,
bb_lower,False,30,
bb_width_20,False,33,
bb_percent_20,False,16,
adxr,False,19,
dx,False,29,
rsi_7,False,22,
rsi_14,False,34,
rsi_21,False,27,
stoch_k_5,False,26,
stoch_d_5,False,15,
stoch_k_14,False,8,
stoch_d_14,False,24,
uo,False,36,
cmo_20,False,35,
atr_7,False,5,
atr_14,True,1,0.018180098245601326
atr_21,True,1,0.039187807814742535
stddev_20,False,28,
vix_proxy,False,10,
macd,False,13,
macd_signal,False,6,
macd_hist,False,18,
plus_di,False,11,
minus_di,False,14,
aroon_osc_25,False,32,
sar,False,41,
trix,False,12,
price_sma20_ratio,False,40,
price_ema12_ratio,False,39,
price_momentum_5,False,20,
price_momentum_10,False,31,
price_momentum_24,False,25,
ema_crossover,False,45,
chop_14,False,23,
