feature,selected,ranking,importance
ew_sigma,False,17,
ma24,True,1,0.0009250417361396967
ma168,True,1,0.030774761381713374
sma_20,False,6,
sma_50,True,1,0.0006435316045847912
sma_100,False,25,
ema_5,True,1,0.9365117861838912
ema_12,True,1,0.015034136981955512
ema_26,True,1,0.005312342477066484
ema_50,False,3,
ema_100,True,1,0.004297830282550248
bb_upper,False,26,
bb_middle,False,33,
bb_lower,True,1,0.006500569352098811
bb_width_20,False,38,
bb_percent_20,False,8,
adxr,False,9,
dx,False,30,
rsi_7,False,7,
rsi_14,False,15,
rsi_21,False,5,
stoch_k_5,False,20,
stoch_d_5,False,27,
stoch_k_14,False,29,
stoch_d_14,False,37,
uo,False,35,
cmo_20,False,21,
atr_7,False,23,
atr_14,False,34,
atr_21,False,16,
stddev_20,False,28,
vix_proxy,False,10,
macd,False,31,
macd_signal,False,36,
macd_hist,False,11,
plus_di,False,13,
minus_di,False,12,
aroon_osc_25,False,24,
sar,False,32,
trix,False,19,
price_sma20_ratio,False,18,
price_ema12_ratio,False,2,
price_momentum_5,False,4,
price_momentum_10,False,14,
price_momentum_24,False,22,
ema_crossover,False,39,
