feature,selected,ranking,importance
ew_sigma,False,23,
ma24,False,5,
ma168,True,1,0.3080358442475891
sma_20,False,7,
sma_50,True,1,0.1588968417074297
sma_100,False,3,
ema_5,True,1,0.2135410126050803
ema_12,False,4,
ema_26,True,1,0.1689021413941946
ema_50,False,2,
ema_100,True,1,0.1506241600457063
bb_upper,False,33,
bb_middle,False,13,
bb_lower,False,6,
bb_width_20,False,20,
bb_percent_20,False,15,
adxr,False,11,
dx,False,30,
rsi_7,False,10,
rsi_14,False,12,
rsi_21,False,21,
stoch_k_5,False,29,
stoch_d_5,False,32,
stoch_k_14,False,34,
stoch_d_14,False,41,
uo,False,40,
cmo_20,False,35,
atr_7,False,36,
atr_14,False,27,
atr_21,False,17,
stddev_20,False,37,
vix_proxy,False,14,
macd,False,28,
macd_signal,False,39,
macd_hist,False,19,
plus_di,False,25,
minus_di,False,24,
aroon_osc_25,False,31,
sar,False,38,
trix,False,18,
price_sma20_ratio,False,22,
price_ema12_ratio,False,8,
price_momentum_5,False,9,
price_momentum_10,False,16,
price_momentum_24,False,26,
ema_crossover,False,42,
