feature,selected,ranking,importance
ew_sigma,True,1,0.98843932552415
ma24,False,32,
ma168,False,14,
sma_20,False,41,
sma_50,False,34,
sma_100,False,28,
ema_5,False,26,
ema_12,False,38,
ema_26,False,40,
ema_50,False,39,
ema_100,False,25,
bb_upper,False,35,
bb_middle,False,7,
bb_lower,False,19,
bb_width_20,False,13,
bb_percent_20,False,4,
adxr,False,2,
dx,False,9,
rsi_7,True,1,0.0028095830485134147
rsi_14,False,29,
rsi_21,False,23,
stoch_k_5,False,8,
stoch_d_5,False,24,
stoch_k_14,False,18,
stoch_d_14,False,30,
uo,False,20,
cmo_20,False,36,
atr_7,False,15,
atr_14,False,5,
atr_21,True,1,0.002876218071978272
stddev_20,True,1,0.0034641509057355656
vix_proxy,False,11,
macd,False,33,
macd_signal,False,31,
macd_hist,False,21,
plus_di,False,12,
minus_di,False,6,
aroon_osc_25,False,22,
sar,False,37,
trix,False,3,
price_sma20_ratio,False,27,
price_ema12_ratio,False,17,
price_momentum_5,True,1,0.002410722449622733
price_momentum_10,False,10,
price_momentum_24,False,16,
ema_crossover,False,42,
