,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,5542.600628546319,2025-07-26 22:13:58.757923,2025-07-26 22:14:48.378152,0 days 00:00:49.620229,0.2,0.001,0.9999,COMPLETE
1,1,5591.812559185337,2025-07-26 22:14:48.379870,2025-07-26 22:15:39.656369,0 days 00:00:51.276499,0.1,0.001,0.9999,COMPLETE
2,2,17278.29115031088,2025-07-26 22:15:39.657278,2025-07-26 22:17:06.901154,0 days 00:01:27.243876,0.3,1e-05,0.9,COMPLETE
3,3,23484.50651548629,2025-07-26 22:17:06.901897,2025-07-26 22:18:00.940348,0 days 00:00:54.038451,0.3,0.0001,0.999,COMPLETE
4,4,17278.29115031088,2025-07-26 22:18:00.940806,2025-07-26 22:19:26.854462,0 days 00:01:25.913656,0.1,0.001,0.9,COMPLETE
5,5,3014.830432459006,2025-07-26 22:19:26.855481,2025-07-26 22:20:52.904124,0 days 00:01:26.048643,0.3,0.0001,0.99,COMPLETE
6,6,5542.600628546319,2025-07-26 22:20:52.904763,2025-07-26 22:21:42.512155,0 days 00:00:49.607392,0.3,1e-05,0.9999,COMPLETE
7,7,3014.830432459006,2025-07-26 22:21:42.512707,2025-07-26 22:23:08.543113,0 days 00:01:26.030406,0.3,0.0001,0.99,COMPLETE
8,8,17278.29115031088,2025-07-26 22:23:08.544043,2025-07-26 22:24:34.410907,0 days 00:01:25.866864,0.2,0.01,0.99,COMPLETE
9,9,17278.29115031088,2025-07-26 22:24:34.412013,2025-07-26 22:25:59.873061,0 days 00:01:25.461048,0.3,0.0001,0.9,COMPLETE
10,10,17278.29115031088,2025-07-26 22:25:59.873974,2025-07-26 22:27:33.143174,0 days 00:01:33.269200,0.4,0.01,0.999,COMPLETE
11,11,23484.50651548629,2025-07-26 22:27:33.145221,2025-07-26 22:28:27.341588,0 days 00:00:54.196367,0.3,1e-05,0.999,COMPLETE
12,12,23484.50651548629,2025-07-26 22:28:27.342296,2025-07-26 22:29:22.353918,0 days 00:00:55.011622,0.4,1e-05,0.999,COMPLETE
13,13,23484.50651548629,2025-07-26 22:29:22.355038,2025-07-26 22:30:16.038807,0 days 00:00:53.683769,0.3,1e-05,0.999,COMPLETE
14,14,23484.50651548629,2025-07-26 22:30:16.039268,2025-07-26 22:31:10.454884,0 days 00:00:54.415616,0.3,0.0001,0.999,COMPLETE
15,15,23484.50651548629,2025-07-26 22:31:10.455769,2025-07-26 22:32:57.729872,0 days 00:01:47.274103,0.3,1e-05,0.999,COMPLETE
16,16,23484.50651548629,2025-07-26 22:32:57.732200,2025-07-26 22:33:53.109449,0 days 00:00:55.377249,0.4,0.0001,0.999,COMPLETE
17,17,17278.29115031088,2025-07-26 22:33:53.110425,2025-07-26 22:35:24.773960,0 days 00:01:31.663535,0.1,0.01,0.999,COMPLETE
18,18,23484.50651548629,2025-07-26 22:35:24.777167,2025-07-26 22:36:18.039475,0 days 00:00:53.262308,0.2,1e-05,0.999,COMPLETE
19,19,23484.50651548629,2025-07-26 22:36:18.040411,2025-07-26 22:37:10.512881,0 days 00:00:52.472470,0.3,0.0001,0.999,COMPLETE
