,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,-70705.28671942983,2025-07-26 19:03:13.410080,2025-07-26 19:03:44.062478,0 days 00:00:30.652398,0.1,0.001,0.9,COMPLETE
1,1,-1099.138691645047,2025-07-26 19:03:44.062868,2025-07-26 19:04:11.672587,0 days 00:00:27.609719,0.3,0.001,0.99,COMPLETE
2,2,-363.7165967240731,2025-07-26 19:04:11.673266,2025-07-26 19:04:51.208987,0 days 00:00:39.535721,0.2,1e-05,0.9999,COMPLETE
3,3,-1063.4791178404091,2025-07-26 19:04:51.209483,2025-07-26 19:05:08.069333,0 days 00:00:16.859850,0.4,1e-05,0.99,COMPLETE
4,4,-162.4499353121564,2025-07-26 19:05:08.069788,2025-07-26 19:05:29.856412,0 days 00:00:21.786624,0.1,1e-05,0.9,COMPLETE
5,5,-70705.28671942983,2025-07-26 19:05:29.856860,2025-07-26 19:06:00.622846,0 days 00:00:30.765986,0.1,0.001,0.9,COMPLETE
6,6,-532.582624469973,2025-07-26 19:06:00.623725,2025-07-26 19:06:34.368913,0 days 00:00:33.745188,0.4,0.001,0.99,COMPLETE
7,7,-349.76791226021044,2025-07-26 19:06:34.369494,2025-07-26 19:07:50.437261,0 days 00:01:16.067767,0.1,1e-05,0.999,COMPLETE
8,8,117.28767492947294,2025-07-26 19:07:50.438142,2025-07-26 19:08:53.389989,0 days 00:01:02.951847,0.3,0.01,0.9999,COMPLETE
9,9,-863.1772282295512,2025-07-26 19:08:53.390702,2025-07-26 19:09:13.649085,0 days 00:00:20.258383,0.3,0.001,0.999,COMPLETE
10,10,117.28767492947294,2025-07-26 19:09:13.649650,2025-07-26 19:10:16.391782,0 days 00:01:02.742132,0.3,0.01,0.9999,COMPLETE
11,11,117.28767492947294,2025-07-26 19:10:16.392603,2025-07-26 19:11:19.192031,0 days 00:01:02.799428,0.3,0.01,0.9999,COMPLETE
12,12,117.28767492947294,2025-07-26 19:11:19.192930,2025-07-26 19:12:21.860593,0 days 00:01:02.667663,0.3,0.01,0.9999,COMPLETE
13,13,117.28767492947294,2025-07-26 19:12:21.861479,2025-07-26 19:13:25.212370,0 days 00:01:03.350891,0.3,0.01,0.9999,COMPLETE
14,14,-129324.421218111,2025-07-26 19:13:25.213259,2025-07-26 19:14:56.330133,0 days 00:01:31.116874,0.2,0.0001,0.9999,COMPLETE
15,15,117.28767492947294,2025-07-26 19:14:56.331000,2025-07-26 19:15:59.157254,0 days 00:01:02.826254,0.3,0.01,0.9999,COMPLETE
16,16,117.28767492947294,2025-07-26 19:15:59.158091,2025-07-26 19:17:02.153790,0 days 00:01:02.995699,0.3,0.01,0.9999,COMPLETE
17,17,612.665187970984,2025-07-26 19:17:02.154730,2025-07-26 19:17:53.409610,0 days 00:00:51.254880,0.3,0.0001,0.9999,COMPLETE
18,18,-1101.1985576213046,2025-07-26 19:17:53.410085,2025-07-26 19:18:18.800433,0 days 00:00:25.390348,0.4,0.0001,0.999,COMPLETE
19,19,-129324.421218111,2025-07-26 19:18:18.800830,2025-07-26 19:19:49.576283,0 days 00:01:30.775453,0.2,0.0001,0.9999,COMPLETE
