,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-593.0885182744945,2025-07-26 19:19:49.998372,2025-07-26 19:20:07.905394,0 days 00:00:17.907022,"[0, 10, 15, 20]",relu,"[256, 126]",5e-05,COMPLETE
1,1,-1782.992998273896,2025-07-26 19:20:07.906149,2025-07-26 19:20:27.385633,0 days 00:00:19.479484,"[0, 10, 20, 30]",tanh,"[64, 32]",0.005,COMPLETE
2,2,14117.470800379377,2025-07-26 19:20:27.386039,2025-07-26 19:23:13.247064,0 days 00:02:45.861025,"[0, 45, 50, 55]",relu,"[128, 64]",0.001,COMPLETE
3,3,-1782.992998273896,2025-07-26 19:23:13.247862,2025-07-26 19:24:34.912308,0 days 00:01:21.664446,"[0, 10, 20, 30]",tanh,"[128, 128]",0.01,COMPLETE
4,4,-2581.894498819133,2025-07-26 19:24:34.913172,2025-07-26 19:25:25.136939,0 days 00:00:50.223767,"[0, 25, 50]",relu,"[32, 32]",0.0005,COMPLETE
5,5,-733.6089948702314,2025-07-26 19:25:25.137843,2025-07-26 19:25:40.038149,0 days 00:00:14.900306,"[0, 10, 15, 20]",relu,"[32, 32]",0.0005,COMPLETE
6,6,-38407.38258019429,2025-07-26 19:25:40.038568,2025-07-26 19:26:46.699089,0 days 00:01:06.660521,"[0, 10, 15, 20]",tanh,"[64, 64]",0.001,COMPLETE
7,7,-733.6089948702314,2025-07-26 19:26:46.704089,2025-07-26 19:27:01.669078,0 days 00:00:14.964989,"[0, 10, 15, 20]",relu,"[32, 32]",0.0005,COMPLETE
8,8,-38407.38258019429,2025-07-26 19:27:01.669509,2025-07-26 19:28:57.296063,0 days 00:01:55.626554,"[0, 10, 20, 30]",tanh,"[128, 64]",0.0003,COMPLETE
9,9,-593.0885182744945,2025-07-26 19:28:57.297014,2025-07-26 19:29:15.348122,0 days 00:00:18.051108,"[0, 10, 15, 20]",relu,"[256, 126]",5e-05,COMPLETE
10,10,14117.470800379377,2025-07-26 19:29:15.348534,2025-07-26 19:32:02.035104,0 days 00:02:46.686570,"[0, 45, 50, 55]",relu,"[128, 64]",0.001,COMPLETE
11,11,14117.470800379377,2025-07-26 19:32:02.036153,2025-07-26 19:34:58.145559,0 days 00:02:56.109406,"[0, 45, 50, 55]",relu,"[128, 64]",0.001,COMPLETE
12,12,14117.470800379377,2025-07-26 19:34:58.146497,2025-07-26 19:37:50.572363,0 days 00:02:52.425866,"[0, 45, 50, 55]",relu,"[128, 64, 32]",0.001,COMPLETE
13,13,-3092.4581578436814,2025-07-26 19:37:50.573274,2025-07-26 19:39:21.991456,0 days 00:01:31.418182,"[0, 50, 100]",relu,"[128, 64]",0.0001,COMPLETE
14,14,-4269.7594073350765,2025-07-26 19:39:21.992356,2025-07-26 19:40:20.479624,0 days 00:00:58.487268,"[0, 45, 50, 55]",relu,"[128, 64]",1e-05,COMPLETE
15,15,14117.470800379377,2025-07-26 19:40:20.481078,2025-07-26 19:43:13.443839,0 days 00:02:52.962761,"[0, 45, 50, 55]",relu,"[128, 64]",0.001,COMPLETE
16,16,14117.470800379377,2025-07-26 19:43:13.444794,2025-07-26 19:46:01.273627,0 days 00:02:47.828833,"[0, 45, 50, 55]",relu,"[128, 64, 32]",0.001,COMPLETE
17,17,8188.036267366069,2025-07-26 19:46:01.274524,2025-07-26 19:46:56.309978,0 days 00:00:55.035454,"[0, 25, 50]",relu,"[128, 128]",0.005,COMPLETE
18,18,13338.989737464879,2025-07-26 19:46:56.310528,2025-07-26 19:48:37.404191,0 days 00:01:41.093663,"[0, 50, 100]",tanh,"[64, 32]",0.01,COMPLETE
19,19,-4475.463865748421,2025-07-26 19:48:37.404778,2025-07-26 19:50:14.961830,0 days 00:01:37.557052,"[0, 45, 50, 55]",relu,"[64, 64]",0.0003,COMPLETE
