,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,11456.4135934945,2025-07-26 23:19:47.371090,2025-07-26 23:21:17.370656,0 days 00:01:29.999566,"[0, 50, 100]",tanh,"[32, 32]",0.0001,COMPLETE
1,1,-943.1659518380002,2025-07-26 23:21:17.372402,2025-07-26 23:22:26.791711,0 days 00:01:09.419309,"[0, 10, 15, 20]",relu,"[64, 32]",1e-05,COMPLETE
2,2,479.49674404157946,2025-07-26 23:22:26.792618,2025-07-26 23:25:34.523306,0 days 00:03:07.730688,"[0, 25, 50]",tanh,"[128, 128]",0.0003,COMPLETE
3,3,2721.151556552966,2025-07-26 23:25:34.524265,2025-07-26 23:27:06.896124,0 days 00:01:32.371859,"[0, 25, 50]",tanh,"[128, 64, 32]",0.0005,COMPLETE
4,4,2756.028422038005,2025-07-26 23:27:06.897071,2025-07-26 23:28:02.121470,0 days 00:00:55.224399,"[0, 10, 20, 30]",tanh,"[128, 128]",5e-05,COMPLETE
5,5,1934.5135914522195,2025-07-26 23:28:02.121934,2025-07-26 23:29:35.770653,0 days 00:01:33.648719,"[0, 50, 100]",relu,"[256, 126]",5e-05,COMPLETE
6,6,-943.1659518380002,2025-07-26 23:29:35.771659,2025-07-26 23:29:47.095753,0 days 00:00:11.324094,"[0, 10, 15, 20]",tanh,"[128, 128]",1e-05,COMPLETE
7,7,4153.185157293083,2025-07-26 23:29:47.096182,2025-07-26 23:31:13.699149,0 days 00:01:26.602967,"[0, 10, 15, 20]",tanh,"[64, 32]",0.005,COMPLETE
8,8,2650.9652566753216,2025-07-26 23:31:13.700253,2025-07-26 23:32:24.905974,0 days 00:01:11.205721,"[0, 25, 50]",tanh,"[128, 64]",5e-05,COMPLETE
9,9,2811.266158352666,2025-07-26 23:32:24.906555,2025-07-26 23:33:47.362212,0 days 00:01:22.455657,"[0, 10, 20, 30]",relu,"[256, 126]",0.005,COMPLETE
10,10,1934.5135914522195,2025-07-26 23:33:47.362793,2025-07-26 23:35:13.146014,0 days 00:01:25.783221,"[0, 50, 100]",relu,"[32, 32]",0.0001,COMPLETE
11,11,19025.515514807004,2025-07-26 23:35:13.147179,2025-07-26 23:36:44.054266,0 days 00:01:30.907087,"[0, 45, 50, 55]",tanh,"[64, 32]",0.001,COMPLETE
12,12,15203.231223858227,2025-07-26 23:36:44.055102,2025-07-26 23:38:09.193120,0 days 00:01:25.138018,"[0, 45, 50, 55]",tanh,"[64, 64]",0.001,COMPLETE
13,13,15203.231223858227,2025-07-26 23:38:09.194204,2025-07-26 23:39:33.341753,0 days 00:01:24.147549,"[0, 45, 50, 55]",tanh,"[64, 64]",0.001,COMPLETE
14,14,15203.231223858227,2025-07-26 23:39:33.342640,2025-07-26 23:40:55.401553,0 days 00:01:22.058913,"[0, 45, 50, 55]",tanh,"[64, 64]",0.001,COMPLETE
15,15,1696.067870544029,2025-07-26 23:40:55.401977,2025-07-26 23:42:25.512203,0 days 00:01:30.110226,"[0, 45, 50, 55]",tanh,"[64, 64]",0.01,COMPLETE
16,16,19025.515514807004,2025-07-26 23:42:25.513114,2025-07-26 23:43:53.067489,0 days 00:01:27.554375,"[0, 45, 50, 55]",tanh,"[64, 32]",0.001,COMPLETE
17,17,19025.515514807004,2025-07-26 23:43:53.067954,2025-07-26 23:45:20.123411,0 days 00:01:27.055457,"[0, 45, 50, 55]",tanh,"[64, 32]",0.001,COMPLETE
18,18,7937.17385344196,2025-07-26 23:45:20.123953,2025-07-26 23:46:56.919213,0 days 00:01:36.795260,"[0, 45, 50, 55]",relu,"[64, 32]",0.001,COMPLETE
19,19,13711.558308586626,2025-07-26 23:46:56.920227,2025-07-26 23:49:43.856637,0 days 00:02:46.936410,"[0, 45, 50, 55]",tanh,"[64, 32]",0.01,COMPLETE
