,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3474.317815694989,2025-07-26 17:38:26.259025,2025-07-26 17:39:14.745407,0 days 00:00:48.486382,"[0, 45, 50, 55]",relu,"[64, 64]",0.0005,COMPLETE
1,1,-156176.2832459124,2025-07-26 17:39:14.746624,2025-07-26 17:39:47.679589,0 days 00:00:32.932965,"[0, 10, 20, 30]",tanh,"[128, 64, 32]",5e-05,COMPLETE
2,2,5978.490976819814,2025-07-26 17:39:47.680138,2025-07-26 17:40:19.049184,0 days 00:00:31.369046,"[0, 10, 15, 20]",tanh,"[64, 32]",0.001,COMPLETE
3,3,-15542.403761025324,2025-07-26 17:40:19.054885,2025-07-26 17:41:19.964084,0 days 00:01:00.909199,"[0, 25, 50]",tanh,"[128, 64, 32]",0.0001,COMPLETE
4,4,-36921.80558437223,2025-07-26 17:41:19.970109,2025-07-26 17:42:15.505731,0 days 00:00:55.535622,"[0, 25, 50]",tanh,"[32, 32]",0.0005,COMPLETE
5,5,27847.96284340615,2025-07-26 17:42:15.506854,2025-07-26 17:42:32.258804,0 days 00:00:16.751950,"[0, 10, 20, 30]",relu,"[64, 64]",0.0001,COMPLETE
6,6,-21818.01315207987,2025-07-26 17:42:32.259195,2025-07-26 17:43:49.127860,0 days 00:01:16.868665,"[0, 25, 50]",relu,"[32, 32]",5e-05,COMPLETE
7,7,29330.99458509573,2025-07-26 17:43:49.128870,2025-07-26 17:44:07.224342,0 days 00:00:18.095472,"[0, 10, 15, 20]",tanh,"[128, 64, 32]",0.0005,COMPLETE
8,8,2821.988233537084,2025-07-26 17:44:07.225119,2025-07-26 17:44:57.404088,0 days 00:00:50.178969,"[0, 45, 50, 55]",relu,"[128, 128]",0.0003,COMPLETE
9,9,-104416.03246921772,2025-07-26 17:44:57.407278,2025-07-26 17:45:58.359212,0 days 00:01:00.951934,"[0, 10, 20, 30]",relu,"[256, 126]",1e-05,COMPLETE
10,10,27847.96284340615,2025-07-26 17:45:58.360253,2025-07-26 17:46:32.692727,0 days 00:00:34.332474,"[0, 10, 15, 20]",tanh,"[128, 64]",0.01,COMPLETE
11,11,-1658.9296777592776,2025-07-26 17:46:32.693918,2025-07-26 17:47:29.096377,0 days 00:00:56.402459,"[0, 50, 100]",relu,"[64, 64]",0.0001,COMPLETE
12,12,-120127.59653473806,2025-07-26 17:47:29.097371,2025-07-26 17:48:07.591681,0 days 00:00:38.494310,"[0, 10, 20, 30]",relu,"[64, 64]",0.005,COMPLETE
13,13,29699.481384253115,2025-07-26 17:48:07.592887,2025-07-26 17:48:42.703362,0 days 00:00:35.110475,"[0, 10, 15, 20]",tanh,"[128, 64, 32]",0.0001,COMPLETE
14,14,29330.99458509573,2025-07-26 17:48:42.708435,2025-07-26 17:49:00.004142,0 days 00:00:17.295707,"[0, 10, 15, 20]",tanh,"[128, 64, 32]",0.0005,COMPLETE
15,15,27847.96284340615,2025-07-26 17:49:00.004640,2025-07-26 17:49:32.965709,0 days 00:00:32.961069,"[0, 10, 15, 20]",tanh,"[128, 64, 32]",0.01,COMPLETE
16,16,-120127.59653473806,2025-07-26 17:49:32.966287,2025-07-26 17:50:06.206717,0 days 00:00:33.240430,"[0, 10, 15, 20]",tanh,"[128, 64, 32]",0.005,COMPLETE
17,17,-2029.8922679691211,2025-07-26 17:50:06.213103,2025-07-26 17:50:57.955167,0 days 00:00:51.742064,"[0, 50, 100]",tanh,"[256, 126]",0.0003,COMPLETE
18,18,5315.179158644438,2025-07-26 17:50:57.956084,2025-07-26 17:51:13.305769,0 days 00:00:15.349685,"[0, 10, 15, 20]",tanh,"[128, 128]",0.001,COMPLETE
19,19,29330.99458509573,2025-07-26 17:51:13.306207,2025-07-26 17:51:30.606481,0 days 00:00:17.300274,"[0, 10, 15, 20]",tanh,"[128, 64]",0.0005,COMPLETE
