,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,5110.3891454072145,2025-07-27 00:59:25.826573,2025-07-27 01:01:00.103456,0 days 00:01:34.276883,0.3,1e-05,0.99,COMPLETE
1,1,39091.40481580687,2025-07-27 01:01:00.103948,2025-07-27 01:02:21.859166,0 days 00:01:21.755218,0.3,0.001,0.999,COMPLETE
2,2,11836.962386430267,2025-07-27 01:02:21.859933,2025-07-27 01:04:35.530909,0 days 00:02:13.670976,0.3,1e-05,0.999,COMPLETE
3,3,5093.757621254015,2025-07-27 01:04:35.531809,2025-07-27 01:06:10.521031,0 days 00:01:34.989222,0.3,0.001,0.9,COMPLETE
4,4,517.5720502741799,2025-07-27 01:06:10.521562,2025-07-27 01:07:20.577621,0 days 00:01:10.056059,0.2,0.01,0.999,COMPLETE
5,5,9142.623196212902,2025-07-27 01:07:20.578134,2025-07-27 01:08:14.915982,0 days 00:00:54.337848,0.1,1e-05,0.999,COMPLETE
6,6,1465.9925915255644,2025-07-27 01:08:14.916410,2025-07-27 01:09:23.792473,0 days 00:01:08.876063,0.2,1e-05,0.999,COMPLETE
7,7,377.7984076033102,2025-07-27 01:09:23.793328,2025-07-27 01:10:22.401821,0 days 00:00:58.608493,0.1,0.001,0.999,COMPLETE
8,8,5110.3891454072145,2025-07-27 01:10:22.402223,2025-07-27 01:11:56.767130,0 days 00:01:34.364907,0.2,0.01,0.99,COMPLETE
9,9,4727.33036611566,2025-07-27 01:11:56.767973,2025-07-27 01:14:13.687945,0 days 00:02:16.919972,0.1,0.01,0.9,COMPLETE
10,10,10251.80681105099,2025-07-27 01:14:13.689439,2025-07-27 01:17:18.637483,0 days 00:03:04.948044,0.4,0.0001,0.9999,COMPLETE
11,11,39091.40481580687,2025-07-27 01:17:18.638375,2025-07-27 01:18:58.606929,0 days 00:01:39.968554,0.3,0.001,0.999,COMPLETE
12,12,9251.461516554837,2025-07-27 01:18:58.608906,2025-07-27 01:20:56.120685,0 days 00:01:57.511779,0.3,0.001,0.9999,COMPLETE
13,13,39091.40481580687,2025-07-27 01:20:56.121635,2025-07-27 01:22:17.292882,0 days 00:01:21.171247,0.3,0.001,0.999,COMPLETE
14,14,6818.526279169245,2025-07-27 01:22:17.293762,2025-07-27 01:23:46.444641,0 days 00:01:29.150879,0.4,0.001,0.999,COMPLETE
15,15,694.5763310171203,2025-07-27 01:23:46.445866,2025-07-27 01:24:41.405647,0 days 00:00:54.959781,0.3,0.0001,0.999,COMPLETE
16,16,9251.461516554837,2025-07-27 01:24:41.406050,2025-07-27 01:26:39.250206,0 days 00:01:57.844156,0.3,0.001,0.9999,COMPLETE
17,17,5110.3891454072145,2025-07-27 01:26:39.250731,2025-07-27 01:29:05.507135,0 days 00:02:26.256404,0.3,0.001,0.99,COMPLETE
18,18,5110.3891454072145,2025-07-27 01:29:05.508026,2025-07-27 01:30:39.070426,0 days 00:01:33.562400,0.4,0.001,0.9,COMPLETE
19,19,694.5763310171203,2025-07-27 01:30:39.070864,2025-07-27 01:31:34.151608,0 days 00:00:55.080744,0.3,0.0001,0.999,COMPLETE
