,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,40564.46722825661,2025-07-26 22:57:32.816932,2025-07-26 22:58:48.627747,0 days 00:01:15.810815,0.3,0.01,0.9,COMPLETE
1,1,40564.46722825661,2025-07-26 22:58:48.629024,2025-07-26 23:00:02.603249,0 days 00:01:13.974225,0.3,0.01,0.9,COMPLETE
2,2,40564.46722825661,2025-07-26 23:00:02.603747,2025-07-26 23:01:10.171834,0 days 00:01:07.568087,0.3,0.001,0.99,COMPLETE
3,3,-1946.1755086774792,2025-07-26 23:01:10.172724,2025-07-26 23:01:24.528575,0 days 00:00:14.355851,0.1,0.01,0.999,COMPLETE
4,4,40564.46722825661,2025-07-26 23:01:24.528970,2025-07-26 23:02:41.968932,0 days 00:01:17.439962,0.1,0.0001,0.9,COMPLETE
5,5,5345.586227808407,2025-07-26 23:02:41.969447,2025-07-26 23:03:43.954155,0 days 00:01:01.984708,0.4,0.01,0.9,COMPLETE
6,6,40564.46722825661,2025-07-26 23:03:43.954569,2025-07-26 23:04:57.712424,0 days 00:01:13.757855,0.3,0.01,0.9,COMPLETE
7,7,40564.46722825661,2025-07-26 23:04:57.713296,2025-07-26 23:06:18.080043,0 days 00:01:20.366747,0.4,1e-05,0.99,COMPLETE
8,8,-1908.5751722410466,2025-07-26 23:06:18.080579,2025-07-26 23:06:51.079008,0 days 00:00:32.998429,0.1,1e-05,0.999,COMPLETE
9,9,1385.87058605996,2025-07-26 23:06:51.079400,2025-07-26 23:08:11.984821,0 days 00:01:20.905421,0.1,0.001,0.9,COMPLETE
10,10,40564.46722825661,2025-07-26 23:08:11.985673,2025-07-26 23:09:32.432197,0 days 00:01:20.446524,0.2,0.0001,0.9999,COMPLETE
11,11,40564.46722825661,2025-07-26 23:09:32.432706,2025-07-26 23:10:46.525557,0 days 00:01:14.092851,0.3,0.01,0.9,COMPLETE
12,12,-1418.1523503214837,2025-07-26 23:10:46.526394,2025-07-26 23:11:52.716812,0 days 00:01:06.190418,0.3,0.01,0.9999,COMPLETE
13,13,40564.46722825661,2025-07-26 23:11:52.717674,2025-07-26 23:13:06.492252,0 days 00:01:13.774578,0.3,0.01,0.9,COMPLETE
14,14,40564.46722825661,2025-07-26 23:13:06.492740,2025-07-26 23:14:27.530870,0 days 00:01:21.038130,0.2,0.01,0.9,COMPLETE
15,15,40564.46722825661,2025-07-26 23:14:27.531806,2025-07-26 23:15:41.430311,0 days 00:01:13.898505,0.3,0.01,0.9,COMPLETE
16,16,-1946.1755086774792,2025-07-26 23:15:41.431192,2025-07-26 23:15:59.177831,0 days 00:00:17.746639,0.3,0.0001,0.9999,COMPLETE
17,17,40564.46722825661,2025-07-26 23:15:59.178215,2025-07-26 23:17:06.848997,0 days 00:01:07.670782,0.3,0.001,0.99,COMPLETE
18,18,40564.46722825661,2025-07-26 23:17:06.849894,2025-07-26 23:18:22.104384,0 days 00:01:15.254490,0.4,1e-05,0.999,COMPLETE
19,19,40564.46722825661,2025-07-26 23:18:22.104760,2025-07-26 23:19:46.917076,0 days 00:01:24.812316,0.2,0.01,0.9,COMPLETE
