,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-133154.54713633898,2025-07-26 17:57:21.625573,2025-07-26 17:58:58.652004,0 days 00:01:37.026431,"[0, 10, 20, 30]",relu,"[256, 126]",0.0003,COMPLETE
1,1,-1333.864739058665,2025-07-26 17:58:58.652774,2025-07-26 18:00:32.978705,0 days 00:01:34.325931,"[0, 25, 50]",relu,"[32, 32]",0.001,COMPLETE
2,2,-813.8955369076967,2025-07-26 18:00:32.979601,2025-07-26 18:00:52.506146,0 days 00:00:19.526545,"[0, 45, 50, 55]",tanh,"[128, 128]",0.0003,COMPLETE
3,3,-3621.469829372262,2025-07-26 18:00:52.506535,2025-07-26 18:01:40.673909,0 days 00:00:48.167374,"[0, 10, 15, 20]",relu,"[64, 64]",1e-05,COMPLETE
4,4,-23281.574119092387,2025-07-26 18:01:40.674834,2025-07-26 18:02:35.624907,0 days 00:00:54.950073,"[0, 25, 50]",relu,"[32, 32]",0.005,COMPLETE
5,5,-24228.09305033521,2025-07-26 18:02:35.625802,2025-07-26 18:03:57.501906,0 days 00:01:21.876104,"[0, 45, 50, 55]",relu,"[256, 126]",0.0005,COMPLETE
6,6,-1736.035815223619,2025-07-26 18:03:57.502832,2025-07-26 18:04:20.298608,0 days 00:00:22.795776,"[0, 25, 50]",tanh,"[128, 64]",5e-05,COMPLETE
7,7,-8811.748080642976,2025-07-26 18:04:20.299043,2025-07-26 18:05:14.807500,0 days 00:00:54.508457,"[0, 10, 20, 30]",relu,"[256, 126]",0.01,COMPLETE
8,8,8186.158856296216,2025-07-26 18:05:14.808359,2025-07-26 18:05:58.628096,0 days 00:00:43.819737,"[0, 10, 15, 20]",relu,"[64, 32]",0.0003,COMPLETE
9,9,-1190.3383483112477,2025-07-26 18:05:58.628569,2025-07-26 18:07:20.708685,0 days 00:01:22.080116,"[0, 50, 100]",relu,"[128, 64, 32]",0.005,COMPLETE
10,10,-14081.129387556577,2025-07-26 18:07:20.709548,2025-07-26 18:08:24.893461,0 days 00:01:04.183913,"[0, 10, 15, 20]",tanh,"[64, 32]",0.0001,COMPLETE
11,11,-813.8955369076967,2025-07-26 18:08:24.895200,2025-07-26 18:08:44.298572,0 days 00:00:19.403372,"[0, 45, 50, 55]",tanh,"[128, 128]",0.0003,COMPLETE
12,12,-133154.54713633898,2025-07-26 18:08:44.299019,2025-07-26 18:09:58.322062,0 days 00:01:14.023043,"[0, 10, 15, 20]",tanh,"[128, 128]",0.0003,COMPLETE
13,13,3373.200389625148,2025-07-26 18:09:58.322998,2025-07-26 18:10:19.597601,0 days 00:00:21.274603,"[0, 45, 50, 55]",tanh,"[64, 32]",0.0003,COMPLETE
14,14,-21511.78601290452,2025-07-26 18:10:19.598152,2025-07-26 18:13:43.419317,0 days 00:03:23.821165,"[0, 50, 100]",tanh,"[64, 32]",0.0003,COMPLETE
15,15,-3207.1625139140197,2025-07-26 18:13:43.420298,2025-07-26 18:14:02.709938,0 days 00:00:19.289640,"[0, 45, 50, 55]",tanh,"[64, 32]",0.0001,COMPLETE
16,16,-99212.18611242836,2025-07-26 18:14:02.710395,2025-07-26 18:15:08.716230,0 days 00:01:06.005835,"[0, 10, 15, 20]",relu,"[64, 32]",1e-05,COMPLETE
17,17,-650.3733052986973,2025-07-26 18:15:08.717182,2025-07-26 18:15:29.119823,0 days 00:00:20.402641,"[0, 45, 50, 55]",tanh,"[64, 32]",5e-05,COMPLETE
18,18,-133154.54713633898,2025-07-26 18:15:29.120277,2025-07-26 18:16:43.108022,0 days 00:01:13.987745,"[0, 10, 15, 20]",tanh,"[128, 64]",0.01,COMPLETE
19,19,-53670.61159610299,2025-07-26 18:16:43.108967,2025-07-26 18:18:23.129805,0 days 00:01:40.020838,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0005,COMPLETE
