,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-3894.0181533818827,2025-07-26 21:55:27.251482,2025-07-26 21:56:37.491667,0 days 00:01:10.240185,"[0, 10, 20, 30]",relu,"[32, 32]",0.01,COMPLETE
1,1,-3427.7695068778603,2025-07-26 21:56:37.492578,2025-07-26 21:57:01.236320,0 days 00:00:23.743742,"[0, 45, 50, 55]",relu,"[64, 64]",1e-05,COMPLETE
2,2,-1572.6609811078506,2025-07-26 21:57:01.238206,2025-07-26 21:58:47.718244,0 days 00:01:46.480038,"[0, 50, 100]",tanh,"[64, 64]",0.001,COMPLETE
3,3,4291.641385441115,2025-07-26 21:58:47.719339,2025-07-26 21:59:08.984212,0 days 00:00:21.264873,"[0, 10, 15, 20]",relu,"[128, 64]",0.0001,COMPLETE
4,4,-1901.818918759112,2025-07-26 21:59:08.984636,2025-07-26 21:59:58.918308,0 days 00:00:49.933672,"[0, 45, 50, 55]",tanh,"[256, 126]",0.0003,COMPLETE
5,5,23484.50651548629,2025-07-26 21:59:58.919372,2025-07-26 22:00:52.509149,0 days 00:00:53.589777,"[0, 25, 50]",relu,"[128, 128]",0.0001,COMPLETE
6,6,-724.7147790120581,2025-07-26 22:00:52.509941,2025-07-26 22:02:00.115029,0 days 00:01:07.605088,"[0, 50, 100]",relu,"[128, 64]",0.0003,COMPLETE
7,7,-2797.4230000236225,2025-07-26 22:02:00.116307,2025-07-26 22:03:21.581454,0 days 00:01:21.465147,"[0, 50, 100]",tanh,"[128, 64, 32]",0.001,COMPLETE
8,8,-3568.9206431548437,2025-07-26 22:03:21.582481,2025-07-26 22:03:51.106551,0 days 00:00:29.524070,"[0, 45, 50, 55]",relu,"[64, 32]",0.0005,COMPLETE
9,9,-838.5176548490642,2025-07-26 22:03:51.107000,2025-07-26 22:05:01.066795,0 days 00:01:09.959795,"[0, 25, 50]",tanh,"[64, 64]",0.01,COMPLETE
10,10,-3474.740634255059,2025-07-26 22:05:01.068373,2025-07-26 22:05:40.725664,0 days 00:00:39.657291,"[0, 25, 50]",relu,"[128, 128]",0.005,COMPLETE
11,11,4291.641385441115,2025-07-26 22:05:40.726714,2025-07-26 22:06:01.663535,0 days 00:00:20.936821,"[0, 10, 15, 20]",relu,"[128, 64]",0.0001,COMPLETE
12,12,9497.95537007211,2025-07-26 22:06:01.665756,2025-07-26 22:06:54.669446,0 days 00:00:53.003690,"[0, 10, 15, 20]",relu,"[128, 128]",0.0001,COMPLETE
13,13,23484.50651548629,2025-07-26 22:06:54.670497,2025-07-26 22:07:48.340934,0 days 00:00:53.670437,"[0, 25, 50]",relu,"[128, 128]",0.0001,COMPLETE
14,14,-809.4415822100515,2025-07-26 22:07:48.342372,2025-07-26 22:08:12.235049,0 days 00:00:23.892677,"[0, 25, 50]",relu,"[128, 128]",5e-05,COMPLETE
15,15,23484.50651548629,2025-07-26 22:08:12.235610,2025-07-26 22:09:05.669669,0 days 00:00:53.434059,"[0, 25, 50]",relu,"[128, 128]",0.0001,COMPLETE
16,16,23484.50651548629,2025-07-26 22:09:05.670100,2025-07-26 22:09:59.140300,0 days 00:00:53.470200,"[0, 25, 50]",relu,"[128, 128]",0.0001,COMPLETE
17,17,-3894.0181533818827,2025-07-26 22:09:59.141348,2025-07-26 22:10:50.055934,0 days 00:00:50.914586,"[0, 10, 20, 30]",relu,"[32, 32]",5e-05,COMPLETE
18,18,-1010.5959519032655,2025-07-26 22:10:50.056949,2025-07-26 22:12:38.046777,0 days 00:01:47.989828,"[0, 25, 50]",tanh,"[128, 64, 32]",0.005,COMPLETE
19,19,17278.29115031088,2025-07-26 22:12:38.047705,2025-07-26 22:13:58.745509,0 days 00:01:20.697804,"[0, 25, 50]",relu,"[64, 32]",1e-05,COMPLETE
