,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,14117.470800379377,2025-07-26 19:50:14.972895,2025-07-26 19:52:12.793097,0 days 00:01:57.820202,0.2,0.001,0.999,COMPLETE
1,1,-4356.653901510302,2025-07-26 19:52:12.793817,2025-07-26 19:53:05.957537,0 days 00:00:53.163720,0.2,0.001,0.9,COMPLETE
2,2,14117.470800379377,2025-07-26 19:53:05.957926,2025-07-26 19:54:42.036423,0 days 00:01:36.078497,0.2,1e-05,0.9999,COMPLETE
3,3,-4356.653901510302,2025-07-26 19:54:42.037612,2025-07-26 19:55:28.521214,0 days 00:00:46.483602,0.4,1e-05,0.9,COMPLETE
4,4,14117.470800379377,2025-07-26 19:55:28.521637,2025-07-26 19:56:41.871734,0 days 00:01:13.350097,0.1,0.001,0.999,COMPLETE
5,5,14117.470800379377,2025-07-26 19:56:41.872635,2025-07-26 19:58:13.455082,0 days 00:01:31.582447,0.3,1e-05,0.999,COMPLETE
6,6,14117.470800379377,2025-07-26 19:58:13.455558,2025-07-26 19:59:26.087079,0 days 00:01:12.631521,0.2,0.001,0.9999,COMPLETE
7,7,12458.356415545617,2025-07-26 19:59:26.087929,2025-07-26 20:00:43.333839,0 days 00:01:17.245910,0.1,0.001,0.9,COMPLETE
8,8,-4421.5394787335,2025-07-26 20:00:43.334703,2025-07-26 20:01:45.202873,0 days 00:01:01.868170,0.4,0.0001,0.9,COMPLETE
9,9,-4356.653901510302,2025-07-26 20:01:45.203698,2025-07-26 20:02:46.492360,0 days 00:01:01.288662,0.4,0.001,0.9,COMPLETE
10,10,-4356.653901510302,2025-07-26 20:02:46.492748,2025-07-26 20:03:23.336424,0 days 00:00:36.843676,0.3,0.01,0.99,COMPLETE
11,11,14117.470800379377,2025-07-26 20:03:23.337228,2025-07-26 20:04:59.126532,0 days 00:01:35.789304,0.2,1e-05,0.9999,COMPLETE
12,12,14117.470800379377,2025-07-26 20:04:59.127365,2025-07-26 20:06:32.527463,0 days 00:01:33.400098,0.2,0.0001,0.999,COMPLETE
13,13,-4401.326489181592,2025-07-26 20:06:32.528266,2025-07-26 20:08:15.202070,0 days 00:01:42.673804,0.2,0.01,0.9999,COMPLETE
14,14,-4518.185948826792,2025-07-26 20:08:15.202891,2025-07-26 20:09:15.263983,0 days 00:01:00.061092,0.2,1e-05,0.99,COMPLETE
15,15,14117.470800379377,2025-07-26 20:09:15.264483,2025-07-26 20:10:50.843167,0 days 00:01:35.578684,0.2,1e-05,0.9999,COMPLETE
16,16,12458.356415545617,2025-07-26 20:10:50.843646,2025-07-26 20:12:24.251697,0 days 00:01:33.408051,0.2,0.01,0.999,COMPLETE
17,17,2877.375081886824,2025-07-26 20:12:24.252631,2025-07-26 20:13:53.020324,0 days 00:01:28.767693,0.3,0.0001,0.999,COMPLETE
18,18,14117.470800379377,2025-07-26 20:13:53.023686,2025-07-26 20:15:35.055087,0 days 00:01:42.031401,0.1,1e-05,0.9999,COMPLETE
19,19,-4361.653901510301,2025-07-26 20:15:35.056018,2025-07-26 20:16:38.817338,0 days 00:01:03.761320,0.2,0.001,0.99,COMPLETE
