,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,6688.204840141079,2025-07-27 00:20:36.363453,2025-07-27 00:23:11.256812,0 days 00:02:34.893359,"[0, 50, 100]",tanh,"[32, 32]",0.005,COMPLETE
1,1,-14980.420927595755,2025-07-27 00:23:11.257570,2025-07-27 00:24:37.292915,0 days 00:01:26.035345,"[0, 10, 15, 20]",relu,"[32, 32]",0.001,COMPLETE
2,2,16090.77100288812,2025-07-27 00:24:37.293928,2025-07-27 00:26:40.883040,0 days 00:02:03.589112,"[0, 50, 100]",tanh,"[256, 126]",0.005,COMPLETE
3,3,-2577.15353740911,2025-07-27 00:26:40.883914,2025-07-27 00:28:38.865130,0 days 00:01:57.981216,"[0, 10, 20, 30]",tanh,"[64, 32]",0.0005,COMPLETE
4,4,-14980.420927595755,2025-07-27 00:28:38.867017,2025-07-27 00:30:59.147320,0 days 00:02:20.280303,"[0, 10, 15, 20]",relu,"[128, 128]",5e-05,COMPLETE
5,5,-2838.201001736836,2025-07-27 00:30:59.148691,2025-07-27 00:31:41.484324,0 days 00:00:42.335633,"[0, 10, 15, 20]",tanh,"[128, 64]",0.0001,COMPLETE
6,6,5063.704664020908,2025-07-27 00:31:41.485967,2025-07-27 00:33:43.069794,0 days 00:02:01.583827,"[0, 45, 50, 55]",tanh,"[256, 126]",5e-05,COMPLETE
7,7,14278.923708500677,2025-07-27 00:33:43.070772,2025-07-27 00:36:02.094095,0 days 00:02:19.023323,"[0, 50, 100]",tanh,"[128, 128]",0.01,COMPLETE
8,8,-2138.4709816849277,2025-07-27 00:36:02.096482,2025-07-27 00:38:24.212000,0 days 00:02:22.115518,"[0, 25, 50]",tanh,"[128, 64, 32]",0.005,COMPLETE
9,9,-14980.420927595755,2025-07-27 00:38:24.213433,2025-07-27 00:40:43.245531,0 days 00:02:19.032098,"[0, 10, 15, 20]",relu,"[128, 128]",0.0001,COMPLETE
10,10,5110.3891454072145,2025-07-27 00:40:43.246543,2025-07-27 00:43:04.094971,0 days 00:02:20.848428,"[0, 50, 100]",relu,"[256, 126]",1e-05,COMPLETE
11,11,6821.945924391316,2025-07-27 00:43:04.095901,2025-07-27 00:45:16.719614,0 days 00:02:12.623713,"[0, 50, 100]",tanh,"[64, 64]",0.01,COMPLETE
12,12,3286.384467615637,2025-07-27 00:45:16.720652,2025-07-27 00:46:55.976505,0 days 00:01:39.255853,"[0, 50, 100]",tanh,"[256, 126]",0.0003,COMPLETE
13,13,14278.923708500677,2025-07-27 00:46:55.977422,2025-07-27 00:49:16.951914,0 days 00:02:20.974492,"[0, 50, 100]",tanh,"[128, 128]",0.01,COMPLETE
14,14,4287.390543725565,2025-07-27 00:49:16.953118,2025-07-27 00:51:19.065032,0 days 00:02:02.111914,"[0, 45, 50, 55]",tanh,"[128, 64, 32]",0.01,COMPLETE
15,15,1422.899040039878,2025-07-27 00:51:19.065950,2025-07-27 00:52:48.192944,0 days 00:01:29.126994,"[0, 25, 50]",tanh,"[64, 32]",0.005,COMPLETE
16,16,-14980.420927595755,2025-07-27 00:52:48.193975,2025-07-27 00:54:55.107669,0 days 00:02:06.913694,"[0, 10, 20, 30]",tanh,"[128, 64]",0.001,COMPLETE
17,17,1850.4944485136768,2025-07-27 00:54:55.108664,2025-07-27 00:56:22.441236,0 days 00:01:27.332572,"[0, 50, 100]",tanh,"[64, 64]",1e-05,COMPLETE
18,18,5110.3891454072145,2025-07-27 00:56:22.442178,2025-07-27 00:57:51.027830,0 days 00:01:28.585652,"[0, 50, 100]",relu,"[128, 128]",0.0003,COMPLETE
19,19,5257.28794290659,2025-07-27 00:57:51.028890,2025-07-27 00:59:25.815655,0 days 00:01:34.786765,"[0, 50, 100]",tanh,"[256, 126]",0.0005,COMPLETE
