,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,28464.361219510134,2025-07-26 17:51:30.618483,2025-07-26 17:51:46.695173,0 days 00:00:16.076690,0.2,0.001,0.9,COMPLETE
1,1,26329.542677384263,2025-07-26 17:51:46.695517,2025-07-26 17:52:12.810804,0 days 00:00:26.115287,0.2,0.001,0.99,COMPLETE
2,2,2077.382268445965,2025-07-26 17:52:12.811215,2025-07-26 17:52:28.903770,0 days 00:00:16.092555,0.2,0.0001,0.9999,COMPLETE
3,3,31653.61633882785,2025-07-26 17:52:28.904278,2025-07-26 17:52:44.815570,0 days 00:00:15.911292,0.1,0.01,0.999,COMPLETE
4,4,-1601.5111534855337,2025-07-26 17:52:44.815927,2025-07-26 17:53:01.023803,0 days 00:00:16.207876,0.3,1e-05,0.999,COMPLETE
5,5,-1150.9575395265886,2025-07-26 17:53:01.024667,2025-07-26 17:53:17.030629,0 days 00:00:16.005962,0.1,1e-05,0.999,COMPLETE
6,6,26329.542677384263,2025-07-26 17:53:17.030995,2025-07-26 17:53:43.123542,0 days 00:00:26.092547,0.2,0.0001,0.99,COMPLETE
7,7,27829.24046594022,2025-07-26 17:53:43.124370,2025-07-26 17:53:59.143452,0 days 00:00:16.019082,0.3,1e-05,0.9,COMPLETE
8,8,3594.0597624633047,2025-07-26 17:53:59.143831,2025-07-26 17:54:25.138947,0 days 00:00:25.995116,0.4,0.01,0.99,COMPLETE
9,9,2077.382268445965,2025-07-26 17:54:25.139768,2025-07-26 17:54:41.368027,0 days 00:00:16.228259,0.1,0.0001,0.9999,COMPLETE
10,10,31653.61633882785,2025-07-26 17:54:41.368402,2025-07-26 17:54:57.286680,0 days 00:00:15.918278,0.1,0.01,0.999,COMPLETE
11,11,31653.61633882785,2025-07-26 17:54:57.287049,2025-07-26 17:55:13.251689,0 days 00:00:15.964640,0.1,0.01,0.999,COMPLETE
12,12,31653.61633882785,2025-07-26 17:55:13.252496,2025-07-26 17:55:29.171317,0 days 00:00:15.918821,0.1,0.01,0.999,COMPLETE
13,13,31653.61633882785,2025-07-26 17:55:29.171721,2025-07-26 17:55:45.087858,0 days 00:00:15.916137,0.1,0.01,0.999,COMPLETE
14,14,28765.34629940306,2025-07-26 17:55:45.088253,2025-07-26 17:56:00.927013,0 days 00:00:15.838760,0.4,0.01,0.999,COMPLETE
15,15,31653.61633882785,2025-07-26 17:56:00.927864,2025-07-26 17:56:16.825264,0 days 00:00:15.897400,0.1,0.01,0.999,COMPLETE
16,16,31653.61633882785,2025-07-26 17:56:16.825664,2025-07-26 17:56:32.681854,0 days 00:00:15.856190,0.1,0.01,0.999,COMPLETE
17,17,2236.525808623305,2025-07-26 17:56:32.682342,2025-07-26 17:56:48.816202,0 days 00:00:16.133860,0.1,0.01,0.9999,COMPLETE
18,18,27829.24046594022,2025-07-26 17:56:48.816582,2025-07-26 17:57:05.463579,0 days 00:00:16.646997,0.4,0.001,0.9,COMPLETE
19,19,28765.34629940306,2025-07-26 17:57:05.464181,2025-07-26 17:57:21.174660,0 days 00:00:15.710479,0.3,0.01,0.999,COMPLETE
