,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-15010.319474701235,2025-07-26 18:48:28.817175,2025-07-26 18:49:17.687094,0 days 00:00:48.869919,"[0, 25, 50]",relu,"[64, 64]",0.0001,COMPLETE
1,1,-15010.319474701235,2025-07-26 18:49:17.687904,2025-07-26 18:50:15.282610,0 days 00:00:57.594706,"[0, 25, 50]",relu,"[64, 64]",5e-05,COMPLETE
2,2,-70705.28671942983,2025-07-26 18:50:15.283519,2025-07-26 18:51:10.580977,0 days 00:00:55.297458,"[0, 10, 20, 30]",relu,"[128, 128]",0.005,COMPLETE
3,3,-15010.319474701235,2025-07-26 18:51:10.581840,2025-07-26 18:52:09.572805,0 days 00:00:58.990965,"[0, 25, 50]",relu,"[128, 64, 32]",0.001,COMPLETE
4,4,-363.7165967240731,2025-07-26 18:52:09.573684,2025-07-26 18:52:19.851074,0 days 00:00:10.277390,"[0, 10, 15, 20]",relu,"[128, 64, 32]",0.0001,COMPLETE
5,5,-1681.9053277935266,2025-07-26 18:52:19.851467,2025-07-26 18:52:58.371228,0 days 00:00:38.519761,"[0, 10, 15, 20]",tanh,"[32, 32]",0.0001,COMPLETE
6,6,-30401.910480734925,2025-07-26 18:52:58.371812,2025-07-26 18:53:57.170587,0 days 00:00:58.798775,"[0, 10, 20, 30]",tanh,"[128, 64, 32]",0.01,COMPLETE
7,7,-2964.007714099102,2025-07-26 18:53:57.171417,2025-07-26 18:54:46.216997,0 days 00:00:49.045580,"[0, 50, 100]",tanh,"[256, 126]",5e-05,COMPLETE
8,8,-4335.163889747384,2025-07-26 18:54:46.217508,2025-07-26 18:55:13.752645,0 days 00:00:27.535137,"[0, 45, 50, 55]",relu,"[256, 126]",1e-05,COMPLETE
9,9,-4335.163889747384,2025-07-26 18:55:13.753082,2025-07-26 18:55:46.040603,0 days 00:00:32.287521,"[0, 45, 50, 55]",relu,"[128, 128]",0.001,COMPLETE
10,10,-363.7165967240731,2025-07-26 18:55:46.041487,2025-07-26 18:56:40.096249,0 days 00:00:54.054762,"[0, 10, 15, 20]",tanh,"[64, 32]",0.0005,COMPLETE
11,11,-363.7165967240731,2025-07-26 18:56:40.097187,2025-07-26 18:57:34.707174,0 days 00:00:54.609987,"[0, 10, 15, 20]",tanh,"[64, 32]",0.0005,COMPLETE
12,12,-1025.9480852126228,2025-07-26 18:57:34.708595,2025-07-26 18:58:10.106471,0 days 00:00:35.397876,"[0, 10, 15, 20]",tanh,"[128, 64]",0.0005,COMPLETE
13,13,-349.76791226021044,2025-07-26 18:58:10.106901,2025-07-26 18:59:31.528082,0 days 00:01:21.421181,"[0, 10, 15, 20]",tanh,"[64, 32]",0.0003,COMPLETE
14,14,-897.016496928142,2025-07-26 18:59:31.528797,2025-07-26 18:59:43.896134,0 days 00:00:12.367337,"[0, 10, 15, 20]",relu,"[64, 32]",0.0003,COMPLETE
15,15,-4536.311916829804,2025-07-26 18:59:43.896544,2025-07-26 19:00:29.505512,0 days 00:00:45.608968,"[0, 50, 100]",tanh,"[128, 64, 32]",0.0003,COMPLETE
16,16,-1803.9043412800304,2025-07-26 19:00:29.506356,2025-07-26 19:01:06.425319,0 days 00:00:36.918963,"[0, 10, 15, 20]",relu,"[32, 32]",0.0001,COMPLETE
17,17,-722.5802139807323,2025-07-26 19:01:06.426220,2025-07-26 19:01:31.477268,0 days 00:00:25.051048,"[0, 10, 15, 20]",tanh,"[128, 64]",0.0003,COMPLETE
18,18,-70705.28671942983,2025-07-26 19:01:31.477668,2025-07-26 19:02:54.788426,0 days 00:01:23.310758,"[0, 10, 15, 20]",relu,"[64, 32]",0.01,COMPLETE
19,19,-1654.627417988935,2025-07-26 19:02:54.789355,2025-07-26 19:03:13.400226,0 days 00:00:18.610871,"[0, 10, 20, 30]",tanh,"[128, 64, 32]",1e-05,COMPLETE
