,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,7937.668957812611,2025-07-26 20:30:31.982422,2025-07-26 20:32:06.268896,0 days 00:01:34.286474,0.1,0.01,0.9,COMPLETE
1,1,2958.976987771927,2025-07-26 20:32:06.269740,2025-07-26 20:33:40.651659,0 days 00:01:34.381919,0.1,1e-05,0.9,COMPLETE
2,2,8174.583269076638,2025-07-26 20:33:40.652695,2025-07-26 20:34:59.030805,0 days 00:01:18.378110,0.2,0.0001,0.999,COMPLETE
3,3,1518.0522936932412,2025-07-26 20:34:59.031567,2025-07-26 20:36:26.997522,0 days 00:01:27.965955,0.2,0.0001,0.99,COMPLETE
4,4,-4252.100372448677,2025-07-26 20:36:27.001409,2025-07-26 20:37:43.432530,0 days 00:01:16.431121,0.4,0.0001,0.9999,COMPLETE
5,5,5547.7372275493535,2025-07-26 20:37:43.436802,2025-07-26 20:39:27.309207,0 days 00:01:43.872405,0.3,0.0001,0.9,COMPLETE
6,6,-3796.131354684331,2025-07-26 20:39:27.310681,2025-07-26 20:41:16.027443,0 days 00:01:48.716762,0.1,0.0001,0.9999,COMPLETE
7,7,5547.7372275493535,2025-07-26 20:41:16.028339,2025-07-26 20:42:50.479230,0 days 00:01:34.450891,0.3,1e-05,0.9,COMPLETE
8,8,3613.571115911498,2025-07-26 20:42:50.480526,2025-07-26 20:44:40.485951,0 days 00:01:50.005425,0.4,1e-05,0.9,COMPLETE
9,9,3613.571115911498,2025-07-26 20:44:40.487300,2025-07-26 20:46:32.141595,0 days 00:01:51.654295,0.4,1e-05,0.9,COMPLETE
10,10,8174.583269076638,2025-07-26 20:46:32.142530,2025-07-26 20:47:55.112847,0 days 00:01:22.970317,0.2,0.001,0.999,COMPLETE
11,11,8174.583269076638,2025-07-26 20:47:55.115540,2025-07-26 20:49:17.064406,0 days 00:01:21.948866,0.2,0.001,0.999,COMPLETE
12,12,8174.583269076638,2025-07-26 20:49:17.065574,2025-07-26 20:50:36.511203,0 days 00:01:19.445629,0.2,0.001,0.999,COMPLETE
13,13,8174.583269076638,2025-07-26 20:50:36.512159,2025-07-26 20:51:53.771791,0 days 00:01:17.259632,0.2,0.001,0.999,COMPLETE
14,14,3444.3604731227583,2025-07-26 20:51:53.772714,2025-07-26 20:53:13.882612,0 days 00:01:20.109898,0.2,0.01,0.999,COMPLETE
15,15,8174.583269076638,2025-07-26 20:53:13.883542,2025-07-26 20:54:34.334288,0 days 00:01:20.450746,0.2,0.001,0.999,COMPLETE
16,16,1400.5899864631217,2025-07-26 20:54:34.335207,2025-07-26 20:56:09.594008,0 days 00:01:35.258801,0.2,0.001,0.99,COMPLETE
17,17,8174.583269076638,2025-07-26 20:56:09.595016,2025-07-26 20:57:28.326461,0 days 00:01:18.731445,0.2,0.0001,0.999,COMPLETE
18,18,-53.51672585612025,2025-07-26 20:57:28.327497,2025-07-26 20:58:40.692820,0 days 00:01:12.365323,0.3,0.01,0.999,COMPLETE
19,19,8174.583269076638,2025-07-26 20:58:40.693786,2025-07-26 21:00:03.828268,0 days 00:01:23.134482,0.2,0.0001,0.999,COMPLETE
