,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,21602.602114314177,2025-07-26 21:00:04.374607,2025-07-26 21:03:23.773839,0 days 00:03:19.399232,"[0, 50, 100]",tanh,"[256, 126]",0.0003,COMPLETE
1,1,-3820.386733329038,2025-07-26 21:03:23.774787,2025-07-26 21:05:13.083251,0 days 00:01:49.308464,"[0, 50, 100]",tanh,"[64, 64]",0.01,COMPLETE
2,2,23829.528590802074,2025-07-26 21:05:13.084306,2025-07-26 21:06:26.128172,0 days 00:01:13.043866,"[0, 50, 100]",tanh,"[32, 32]",0.0003,COMPLETE
3,3,2028.428116153783,2025-07-26 21:06:26.128964,2025-07-26 21:07:15.271007,0 days 00:00:49.142043,"[0, 10, 20, 30]",relu,"[64, 32]",0.005,COMPLETE
4,4,-1708.0558223252863,2025-07-26 21:07:15.271604,2025-07-26 21:07:55.248393,0 days 00:00:39.976789,"[0, 45, 50, 55]",tanh,"[32, 32]",0.001,COMPLETE
5,5,2028.428114517136,2025-07-26 21:07:55.248918,2025-07-26 21:08:18.608861,0 days 00:00:23.359943,"[0, 10, 20, 30]",tanh,"[128, 64]",1e-05,COMPLETE
6,6,-2652.1662102402342,2025-07-26 21:08:18.609761,2025-07-26 21:09:07.165413,0 days 00:00:48.555652,"[0, 50, 100]",tanh,"[128, 64, 32]",0.0003,COMPLETE
7,7,-9344.244645837465,2025-07-26 21:09:07.166495,2025-07-26 21:09:56.577544,0 days 00:00:49.411049,"[0, 10, 15, 20]",tanh,"[64, 32]",0.001,COMPLETE
8,8,13448.824699092518,2025-07-26 21:09:56.577970,2025-07-26 21:11:35.572131,0 days 00:01:38.994161,"[0, 25, 50]",tanh,"[256, 126]",0.0001,COMPLETE
9,9,-353.08937190809456,2025-07-26 21:11:35.573447,2025-07-26 21:11:52.461825,0 days 00:00:16.888378,"[0, 25, 50]",tanh,"[64, 32]",0.0005,COMPLETE
10,10,-9344.244645837465,2025-07-26 21:11:52.462319,2025-07-26 21:12:05.193947,0 days 00:00:12.731628,"[0, 10, 15, 20]",relu,"[32, 32]",5e-05,COMPLETE
11,11,25054.351249394535,2025-07-26 21:12:05.194516,2025-07-26 21:13:35.419763,0 days 00:01:30.225247,"[0, 50, 100]",relu,"[256, 126]",0.0003,COMPLETE
12,12,25054.351249394535,2025-07-26 21:13:35.420167,2025-07-26 21:14:57.755961,0 days 00:01:22.335794,"[0, 50, 100]",relu,"[128, 128]",0.0003,COMPLETE
13,13,25054.351249394535,2025-07-26 21:14:57.757030,2025-07-26 21:16:21.919904,0 days 00:01:24.162874,"[0, 50, 100]",relu,"[128, 128]",0.0003,COMPLETE
14,14,-3735.6948275773448,2025-07-26 21:16:21.921071,2025-07-26 21:17:08.909950,0 days 00:00:46.988879,"[0, 45, 50, 55]",relu,"[128, 128]",0.0003,COMPLETE
15,15,25054.351249394535,2025-07-26 21:17:08.910953,2025-07-26 21:18:31.764415,0 days 00:01:22.853462,"[0, 50, 100]",relu,"[128, 128]",0.0005,COMPLETE
16,16,25054.351249394535,2025-07-26 21:18:31.765438,2025-07-26 21:20:02.176340,0 days 00:01:30.410902,"[0, 50, 100]",relu,"[256, 126]",5e-05,COMPLETE
17,17,8293.572724109948,2025-07-26 21:20:02.177336,2025-07-26 21:22:10.489317,0 days 00:02:08.311981,"[0, 50, 100]",relu,"[128, 64]",0.005,COMPLETE
18,18,-3381.4019819800997,2025-07-26 21:22:10.490335,2025-07-26 21:23:08.740808,0 days 00:00:58.250473,"[0, 45, 50, 55]",relu,"[64, 64]",1e-05,COMPLETE
19,19,-9344.244645837465,2025-07-26 21:23:08.741359,2025-07-26 21:23:37.619344,0 days 00:00:28.877985,"[0, 10, 15, 20]",relu,"[128, 64, 32]",0.0003,COMPLETE
