,number,value,datetime_start,datetime_complete,duration,params_action_values,params_activation,params_dim_hidden_layers,params_learning_rate,state
0,0,-5005.493703224932,2025-07-26 20:16:39.276896,2025-07-26 20:16:50.749791,0 days 00:00:11.472895,"[0, 10, 20, 30]",relu,"[128, 64, 32]",0.0001,COMPLETE
1,1,-2134.6844068143087,2025-07-26 20:16:50.750147,2025-07-26 20:17:39.956539,0 days 00:00:49.206392,"[0, 50, 100]",tanh,"[128, 64, 32]",0.0003,COMPLETE
2,2,-3654.6769581141075,2025-07-26 20:17:39.957670,2025-07-26 20:18:19.195068,0 days 00:00:39.237398,"[0, 25, 50]",tanh,"[128, 64, 32]",0.0005,COMPLETE
3,3,-5558.440878110044,2025-07-26 20:18:19.196047,2025-07-26 20:19:06.913419,0 days 00:00:47.717372,"[0, 25, 50]",tanh,"[64, 64]",0.0003,COMPLETE
4,4,-4639.802213465445,2025-07-26 20:19:06.914511,2025-07-26 20:19:28.338859,0 days 00:00:21.424348,"[0, 25, 50]",relu,"[128, 64]",1e-05,COMPLETE
5,5,-3332.7814949376116,2025-07-26 20:19:28.339295,2025-07-26 20:20:32.717371,0 days 00:01:04.378076,"[0, 50, 100]",tanh,"[128, 128]",0.01,COMPLETE
6,6,-3825.4074821374,2025-07-26 20:20:32.721224,2025-07-26 20:21:37.985052,0 days 00:01:05.263828,"[0, 45, 50, 55]",tanh,"[64, 32]",1e-05,COMPLETE
7,7,8174.583269076638,2025-07-26 20:21:37.986674,2025-07-26 20:22:54.932951,0 days 00:01:16.946277,"[0, 50, 100]",tanh,"[32, 32]",0.001,COMPLETE
8,8,-4427.1096659367795,2025-07-26 20:22:54.933686,2025-07-26 20:23:12.972354,0 days 00:00:18.038668,"[0, 10, 20, 30]",tanh,"[128, 128]",0.0003,COMPLETE
9,9,4260.725983132683,2025-07-26 20:23:12.975606,2025-07-26 20:23:32.519236,0 days 00:00:19.543630,"[0, 10, 20, 30]",relu,"[64, 64]",0.0001,COMPLETE
10,10,-1722.286775445667,2025-07-26 20:23:32.519661,2025-07-26 20:24:37.367544,0 days 00:01:04.847883,"[0, 10, 15, 20]",relu,"[32, 32]",0.001,COMPLETE
11,11,4260.725983132683,2025-07-26 20:24:37.368545,2025-07-26 20:24:57.225992,0 days 00:00:19.857447,"[0, 10, 20, 30]",relu,"[64, 64]",0.0001,COMPLETE
12,12,-3784.9446275857326,2025-07-26 20:24:57.226521,2025-07-26 20:25:51.371521,0 days 00:00:54.145000,"[0, 50, 100]",relu,"[256, 126]",0.001,COMPLETE
13,13,-4427.1096659367795,2025-07-26 20:25:51.372491,2025-07-26 20:26:27.105782,0 days 00:00:35.733291,"[0, 10, 15, 20]",relu,"[32, 32]",0.005,COMPLETE
14,14,-3761.482530544656,2025-07-26 20:26:27.106720,2025-07-26 20:26:59.964315,0 days 00:00:32.857595,"[0, 45, 50, 55]",tanh,"[32, 32]",5e-05,COMPLETE
15,15,-3396.3806518113165,2025-07-26 20:26:59.964969,2025-07-26 20:28:40.216804,0 days 00:01:40.251835,"[0, 50, 100]",relu,"[64, 64]",0.001,COMPLETE
16,16,-5005.493703224932,2025-07-26 20:28:40.217914,2025-07-26 20:28:54.295257,0 days 00:00:14.077343,"[0, 10, 20, 30]",tanh,"[256, 126]",0.0001,COMPLETE
17,17,-5109.490395774818,2025-07-26 20:28:54.296174,2025-07-26 20:29:07.081342,0 days 00:00:12.785168,"[0, 10, 20, 30]",relu,"[128, 64]",5e-05,COMPLETE
18,18,-3807.18660037608,2025-07-26 20:29:07.081921,2025-07-26 20:29:50.029843,0 days 00:00:42.947922,"[0, 50, 100]",relu,"[64, 32]",0.01,COMPLETE
19,19,8048.052573868205,2025-07-26 20:29:50.030752,2025-07-26 20:30:31.951648,0 days 00:00:41.920896,"[0, 45, 50, 55]",tanh,"[64, 64]",0.005,COMPLETE
