,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_gamma,state
0,0,25054.351249394535,2025-07-26 21:23:37.630264,2025-07-26 21:25:09.206252,0 days 00:01:31.575988,0.3,1e-05,0.999,COMPLETE
1,1,25054.351249394535,2025-07-26 21:25:09.206646,2025-07-26 21:26:46.186262,0 days 00:01:36.979616,0.4,0.0001,0.9999,COMPLETE
2,2,7297.021954161999,2025-07-26 21:26:46.187444,2025-07-26 21:28:16.351248,0 days 00:01:30.163804,0.1,0.01,0.99,COMPLETE
3,3,6901.044305667257,2025-07-26 21:28:16.352147,2025-07-26 21:29:43.759214,0 days 00:01:27.407067,0.3,0.0001,0.99,COMPLETE
4,4,25054.351249394535,2025-07-26 21:29:43.761346,2025-07-26 21:31:36.013557,0 days 00:01:52.252211,0.4,0.01,0.9,COMPLETE
5,5,25054.351249394535,2025-07-26 21:31:36.014529,2025-07-26 21:33:07.674679,0 days 00:01:31.660150,0.3,1e-05,0.999,COMPLETE
6,6,25054.351249394535,2025-07-26 21:33:07.675636,2025-07-26 21:34:44.242285,0 days 00:01:36.566649,0.4,0.001,0.9,COMPLETE
7,7,25054.351249394535,2025-07-26 21:34:44.243190,2025-07-26 21:36:20.799438,0 days 00:01:36.556248,0.3,1e-05,0.9999,COMPLETE
8,8,8068.345776851829,2025-07-26 21:36:20.800865,2025-07-26 21:38:27.254099,0 days 00:02:06.453234,0.2,0.01,0.99,COMPLETE
9,9,25054.351249394535,2025-07-26 21:38:27.255331,2025-07-26 21:40:02.455812,0 days 00:01:35.200481,0.3,0.01,0.9999,COMPLETE
10,10,25054.351249394535,2025-07-26 21:40:02.456689,2025-07-26 21:41:31.978539,0 days 00:01:29.521850,0.2,1e-05,0.999,COMPLETE
11,11,25054.351249394535,2025-07-26 21:41:31.979469,2025-07-26 21:43:07.064112,0 days 00:01:35.084643,0.4,0.0001,0.9999,COMPLETE
12,12,25054.351249394535,2025-07-26 21:43:07.065079,2025-07-26 21:44:32.963915,0 days 00:01:25.898836,0.1,0.0001,0.999,COMPLETE
13,13,25054.351249394535,2025-07-26 21:44:32.964933,2025-07-26 21:46:08.573405,0 days 00:01:35.608472,0.4,0.001,0.9999,COMPLETE
14,14,25054.351249394535,2025-07-26 21:46:08.574653,2025-07-26 21:47:39.332234,0 days 00:01:30.757581,0.3,1e-05,0.999,COMPLETE
15,15,25054.351249394535,2025-07-26 21:47:39.333160,2025-07-26 21:49:16.432002,0 days 00:01:37.098842,0.4,0.0001,0.9999,COMPLETE
16,16,25054.351249394535,2025-07-26 21:49:16.432930,2025-07-26 21:50:45.501017,0 days 00:01:29.068087,0.2,1e-05,0.999,COMPLETE
17,17,13047.556130673905,2025-07-26 21:50:45.502353,2025-07-26 21:52:19.922997,0 days 00:01:34.420644,0.1,0.0001,0.9,COMPLETE
18,18,25054.351249394535,2025-07-26 21:52:19.923957,2025-07-26 21:53:50.352557,0 days 00:01:30.428600,0.3,0.001,0.999,COMPLETE
19,19,25054.351249394535,2025-07-26 21:53:50.353582,2025-07-26 21:55:26.777968,0 days 00:01:36.424386,0.4,0.0001,0.9999,COMPLETE
